scenario_id,metadata_change_type,audit_change_type,change_type_match,metadata_difficulty,audit_difficulty,difficulty_match,audit_signals_change_type,audit_difficulty_score,audit_difficulty_breakdown,audit_target_context_inferred,metadata_target_context,metadata_referent_complexity,llm_change_type,llm_difficulty,llm_rationale
sc-11,object_in_hand,object_in_hand,True,easy,easy,True,"[""rule_4_object_in_hand: T1 hand cue 'hand holding', T2 hand cue 'right hand'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,single_referent,,,
sc-12,object_in_hand,object_in_hand,True,medium,medium,True,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'hand gripping'""]",2,"{""referent_offscreen"": 2}",prior,prior,single_referent,,,
sc-13,object_state,object_state,True,easy,easy,True,"[""rule_9_object_state: image-token Jaccard=0.32 (shared scene, no anchor)""]",0,{},current,current,single_referent,,,
sc-14,object_state,object_state,True,medium,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,single_referent,,,
sc-15,object_state,object_state,True,medium,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",1,"{""gold_jaccard_medium"": 1}",current,current,single_referent,,,
sc-16,object_state,object_state,True,medium,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,prior,single_referent,,,
sc-17,object_state,object_state,True,easy,easy,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,single_referent,,,
sc-18,object_state,object_state,True,hard,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,distractor_present,,,
sc-19,object_state,sequential_task,False,medium,medium,True,"[""rule_5_sequential_task: gold pair 'knead' -> 'shape'""]",2,"{""referent_offscreen"": 2}",prior,prior,single_referent,object_state,medium,"The scenario shows the same object (dough) in two different states (unrisen vs. proofed), fitting 'object_state', and the question asks about the prior state, which requires recalling information from Turn 1, making it medium difficulty despite clear visual contrast."
sc-20,object_state,object_state,True,hard,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,single_referent,,,
sc-21,sequential_task,sequential_task,True,easy,medium,False,"[""rule_5_sequential_task: gold pair 'sand' -> 'stain'""]",2,"{""distractor_present"": 1, ""gold_jaccard_medium"": 1}",current,current,single_referent,,,
sc-22,sequential_task,location,False,easy,easy,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.15""]",0,{},current,current,single_referent,object_state,easy,"The scenario depicts the same food item transitioning from a raw, cut state to a cooking state, with clear visual changes and direct questions about the current action."
sc-23,sequential_task,sequential_task,True,medium,easy,False,"[""rule_5_sequential_task: gold pair 'dig' -> 'plant'""]",0,{},current,current,single_referent,,,
sc-24,sequential_task,sequential_task,True,medium,medium,True,"[""rule_5_sequential_task: gold pair 'sketch' -> 'ink'""]",2,"{""referent_offscreen"": 2}",prior,prior,single_referent,,,
sc-25,sequential_task,sequential_task,True,hard,easy,False,"[""rule_5_sequential_task: gold pair 'loosen' -> 'jack'""]",1,"{""distractor_present"": 1}",current,current,distractor_present,,,
sc-26,sequential_task,sequential_task,True,hard,easy,False,"[""rule_5_sequential_task: gold pair 'stretch' -> 'squat'""]",0,{},current,current,single_referent,,,
sc-27,location,location,True,easy,easy,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.17""]",0,{},current,current,single_referent,,,
sc-28,location,location,True,easy,easy,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.14""]",0,{},current,current,single_referent,,,
sc-29,location,location,True,medium,easy,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.12""]",1,"{""distractor_present"": 1}",current,current,single_referent,,,
sc-30,location,location,True,medium,easy,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.19""]",1,"{""distractor_present"": 1}",current,current,distractor_present,,,
sc-31,location,location,True,medium,medium,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.20""]",2,"{""referent_offscreen"": 2}",prior,prior,single_referent,,,
sc-32,location,location,True,hard,medium,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.18""]",3,"{""target_context_abstain_or_clarify"": 2, ""gold_jaccard_medium"": 1}",clarify,clarify,multi_referent,,,
sc-33,object_in_view,object_in_view,True,easy,medium,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""distractor_present"": 1, ""gold_jaccard_medium"": 1}",current,current,single_referent,,,
sc-34,object_in_view,object_in_view,True,medium,easy,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",1,"{""gold_jaccard_medium"": 1}",current,current,multi_referent,,,
sc-35,object_in_view,object_in_view,True,medium,medium,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""distractor_present"": 1, ""gold_jaccard_medium"": 1}",current,current,single_referent,,,
sc-36,object_in_view,object_in_view,True,hard,easy,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",1,"{""gold_jaccard_medium"": 1}",current,current,distractor_present,,,
sc-37,object_in_view,absent_referent,False,hard,medium,False,"[""rule_3_absent_referent: T2 user cue 'that one'""]",2,"{""heavy_change_type"": 1, ""gold_jaccard_medium"": 1}",current,prior,multi_referent,object_in_view,medium,"The scene remains the same, but the camera's focus shifts to a new object (iced tea) while the user's query refers back to the previously prominent object (steaming mug), which is now less prominent but still in view, creating a distractor."
sc-38,absent_referent,absent_referent,True,medium,medium,True,"[""rule_3_absent_referent: T2 user cue 'the one from'""]",3,"{""referent_offscreen"": 2, ""heavy_change_type"": 1}",prior,prior,referent_offscreen,,,
sc-39,absent_referent,absent_referent,True,hard,hard,True,"[""rule_3_absent_referent: T2 user cue 'the printing'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_change_type"": 1}",abstain,abstain,referent_offscreen,,,
sc-40,absent_referent,object_state,False,easy,easy,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,referent_offscreen,object_in_view,medium,"The scene remains the same, but the focus shifts from a nail and hammer in Turn 1 to a previously secondary stripped screw in Turn 2, which is now centered with new tools, indicating a change in attention within the same environment."
sc-41,absent_referent,absent_referent,True,medium,hard,False,"[""rule_3_absent_referent: T2 user cue 'that one'""]",4,"{""target_context_abstain_or_clarify"": 2, ""distractor_present"": 1, ""heavy_change_type"": 1}",clarify,clarify,referent_offscreen,,,
sc-42,absent_referent,absent_referent,True,hard,hard,True,"[""rule_3_absent_referent: T2 user cue 'the gauge actually'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_change_type"": 1}",abstain,abstain,referent_offscreen,,,
sc-43,screen_content,screen_content,True,easy,easy,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",1,"{""heavy_change_type"": 1}",current,current,single_referent,,,
sc-44,screen_content,screen_content,True,easy,easy,True,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",1,"{""heavy_change_type"": 1}",current,current,single_referent,,,
sc-45,screen_content,location,False,hard,easy,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.20""]",1,"{""distractor_present"": 1}",current,current,distractor_present,screen_content,easy,"The scenario clearly shows the content on the same device's screen changing from a presentation slide to a spreadsheet, representing a clear and distinct change in screen content."
sc-46,screen_content,screen_content,True,medium,hard,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'backlit'""]",4,"{""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_change_type"": 1}",prior,prior,single_referent,,,
sc-47,cross_session_reference,cross_session_reference,True,easy,medium,False,"[""rule_1_cross_session_reference: context_image is non-null""]",3,"{""referent_offscreen"": 2, ""heavy_change_type"": 1}",prior,prior,referent_offscreen,,,
sc-48,cross_session_reference,cross_session_reference,True,medium,medium,True,"[""rule_1_cross_session_reference: context_image is non-null""]",3,"{""referent_offscreen"": 2, ""heavy_change_type"": 1}",prior,prior,referent_offscreen,,,
sc-49,cross_session_reference,cross_session_reference,True,hard,medium,False,"[""rule_1_cross_session_reference: context_image is non-null""]",3,"{""referent_offscreen"": 2, ""heavy_change_type"": 1}",prior,prior,referent_offscreen,,,
sc-50,cross_session_reference,cross_session_reference,True,hard,easy,False,"[""rule_1_cross_session_reference: context_image is non-null""]",1,"{""heavy_change_type"": 1}",current,current,distractor_present,,,
adv-01,object_in_hand,object_in_hand,True,hard,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'right hand'""]",0,"{""gold_jaccard_medium"": 1, ""object_in_hand_current_single_bonus"": -1}",current,current,distractor_present,,,
adv-02,object_in_hand,object_in_hand,True,hard,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'hand holding', T2 hand cue 'right hand'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,current,distractor_present,,,
adv-03,object_in_view,object_in_view,True,hard,easy,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",1,"{""gold_jaccard_medium"": 1}",current,current,distractor_present,,,
adv-04,object_state,object_state,True,hard,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,single_referent,,,
adv-05,sequential_task,sequential_task,True,hard,easy,False,"[""rule_5_sequential_task: gold pair 'trowel' -> 'plant'""]",0,{},current,current,distractor_present,,,
adv-06,object_in_hand,object_in_hand,True,medium,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'right hand'""]",0,"{""gold_jaccard_medium"": 1, ""object_in_hand_current_single_bonus"": -1}",current,current,distractor_present,,,
adv-07,object_in_view,object_state,False,medium,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,distractor_present,object_in_view,medium,"The scene remains the same, but the camera pans to focus on a different object (kettlebell) within the view, while the previously prominent object (dumbbell) is still partially visible as a distractor, requiring moderate cognitive load to infer the new target for the repeated query."
adv-08,object_in_hand,object_state,False,medium,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,current,distractor_present,sequential_task,medium,"The scenario depicts a progression in a gardening task, moving from a seed packet to young plants on the same potting bench, representing a later step in the process; the lingering seed packet adds a moderate contextual element."
adv-09,sequential_task,object_in_hand,False,hard,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'right hand'""]",0,"{""gold_jaccard_medium"": 1, ""object_in_hand_current_single_bonus"": -1}",current,current,distractor_present,object_in_hand,medium,"The scenario shows a different object (new oil filter) in the hand in Turn 2 compared to Turn 1 (old oil filter), and the identical question requires re-interpreting the action based on the new visual context."
adv-10,object_state,object_state,True,hard,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",1,"{""gold_jaccard_medium"": 1}",current,current,single_referent,,,
adv-11,location,location,True,medium,easy,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.16""]",1,"{""gold_jaccard_medium"": 1}",current,current,single_referent,,,
adv-12,object_in_view,object_in_view,True,medium,easy,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera tilted'""]",0,{},current,current,distractor_present,,,
adv-13,screen_content,screen_content,True,medium,easy,False,"[""rule_2_screen_content: T1 screen cue 'backlit', T2 screen cue 'compose window'""]",1,"{""heavy_change_type"": 1}",current,current,distractor_present,,,
adv-14,object_in_hand,object_in_hand,True,hard,easy,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'right hand'""]",-1,"{""object_in_hand_current_single_bonus"": -1}",current,prior,distractor_present,,,
adv-15,location,location,True,medium,easy,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.10""]",0,{},current,prior,single_referent,,,
adv-16,object_state,object_state,True,medium,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",1,"{""distractor_present"": 1}",current,prior,single_referent,,,
adv-17,sequential_task,sequential_task,True,medium,easy,False,"[""rule_5_sequential_task: gold pair 'rise' -> 'bake'""]",1,"{""gold_jaccard_medium"": 1}",current,prior,single_referent,,,
adv-18,object_in_view,sequential_task,False,hard,medium,False,"[""rule_8_sequential_task: 'Same' anchor + empty gold + low Jaccard=0.20""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,object_in_view,medium,"The scenario requires clarification due to the ambiguity of 'this' referring to one of two distinct objects (garlic or ginger) present in the same view across both turns, making it a medium difficulty task."
adv-19,object_in_hand,object_in_hand,True,hard,medium,False,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'right hand'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
adv-20,absent_referent,absent_referent,True,hard,hard,True,"[""rule_3_absent_referent: T2 user cue 'what torque'""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""heavy_change_type"": 1}",abstain,abstain,referent_offscreen,,,
sc-71,object_in_hand,object_state,False,easy,medium,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",2,"{""referent_offscreen"": 2}",prior,prior,single_referent,absent_referent,medium,The user's Turn 2 question explicitly refers to an object (the foam roller) that was present in Turn 1 but is no longer visible in Turn 2.
sc-72,object_in_hand,object_in_hand,True,medium,medium,True,"[""rule_4_object_in_hand: T1 hand cue 'right hand', T2 hand cue 'hand gripping'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-73,object_in_hand,object_in_hand,True,hard,hard,True,"[""rule_4_object_in_hand: T1 hand cue 'hand holding', T2 hand cue 'right hand'""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,distractor_present,,,
sc-74,object_state,object_state,True,easy,easy,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",1,"{""distractor_present"": 1}",current,prior,single_referent,,,
sc-75,object_state,object_state,True,medium,medium,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",2,"{""referent_offscreen"": 2}",prior,prior,distractor_present,,,
sc-76,object_state,object_state,True,medium,easy,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",0,{},current,prior,single_referent,,,
sc-77,object_state,object_state,True,medium,medium,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,single_referent,,,
sc-78,object_state,sequential_task,False,easy,medium,False,"[""rule_5_sequential_task: gold pair 'rinse' -> 'dry'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,single_referent,object_state,medium,"The scenario shows the same object (a hardwood floor) in two different states (wet and pooling vs. dry with a hazy film), fitting 'object_state'. The identical user query 'Should I go over it again?' in both turns, despite the different problems (wetness vs. haze), requires the model to distinguish between the two states and their respective issues, which is supported by the presence of 'clarify_indicators' like 'wet stage or dry', making it 'medium' difficulty."
sc-79,object_state,sequential_task,False,hard,hard,True,"[""rule_5_sequential_task: gold pair 'loosen' -> 'tighten'""]",4,"{""target_context_abstain_or_clarify"": 2, ""distractor_present"": 1, ""gold_jaccard_medium"": 1}",clarify,clarify,distractor_present,object_state,medium,"The same violin bow is present in both turns, but its state changes from having loose hair to taut hair, which is a clear visual difference, but the user's generic question 'Is this where I want it?' could refer to either state, necessitating clarification."
sc-80,object_state,object_state,True,medium,medium,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,single_referent,,,
sc-81,object_state,object_state,True,hard,medium,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-82,object_state,object_state,True,hard,hard,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,single_referent,,,
sc-83,object_state,object_state,True,medium,hard,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",5,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""gold_jaccard_medium"": 1}",abstain,abstain,single_referent,,,
sc-84,object_in_view,object_in_view,True,medium,medium,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""referent_offscreen"": 2}",prior,prior,multi_referent,,,
sc-85,object_in_view,object_in_view,True,hard,medium,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",3,"{""referent_offscreen"": 2, ""gold_jaccard_medium"": 1}",prior,prior,distractor_present,,,
sc-86,object_in_view,object_in_view,True,medium,medium,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-87,object_in_view,object_in_view,True,hard,medium,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,distractor_present,,,
sc-88,object_in_view,object_in_view,True,medium,medium,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-89,object_in_view,object_in_view,True,easy,medium,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-90,object_in_view,object_in_view,True,medium,medium,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,distractor_present,,,
sc-91,object_in_view,object_in_view,True,hard,medium,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,distractor_present,,,
sc-92,object_in_view,object_in_view,True,medium,medium,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-93,object_in_view,object_in_view,True,medium,medium,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,distractor_present,,,
sc-94,object_in_view,object_in_view,True,hard,medium,False,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-95,object_in_view,object_in_view,True,hard,hard,True,"[""rule_7_object_in_view: T2 view-shift cue 'camera now'""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,single_referent,,,
sc-96,sequential_task,sequential_task,True,medium,medium,True,"[""rule_5_sequential_task: gold pair 'charge' -> 'insert'""]",2,"{""referent_offscreen"": 2}",prior,prior,single_referent,,,
sc-97,sequential_task,sequential_task,True,medium,medium,True,"[""rule_5_sequential_task: gold pair 'tune' -> 'chord'""]",3,"{""referent_offscreen"": 2, ""distractor_present"": 1}",prior,prior,single_referent,,,
sc-98,sequential_task,sequential_task,True,easy,medium,False,"[""rule_5_sequential_task: gold pair 'detergent' -> 'transfer'""]",2,"{""referent_offscreen"": 2}",prior,prior,distractor_present,,,
sc-99,sequential_task,sequential_task,True,medium,medium,True,"[""rule_8_sequential_task: 'Same' anchor + empty gold + low Jaccard=0.14""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-100,sequential_task,absent_referent,False,medium,medium,True,"[""rule_3_absent_referent: T2 user cue 'that one'""]",3,"{""target_context_abstain_or_clarify"": 2, ""heavy_change_type"": 1}",clarify,clarify,multi_referent,sequential_task,medium,"The scenario depicts a user performing a sequence of actions related to playing tennis (stretching then hitting a ball), and the user's ambiguous question 'Was that one good?' requires clarification between the two distinct actions shown across the turns."
sc-101,sequential_task,object_state,False,easy,medium,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,object_state,medium,"The same person (object) is shown in both turns, but their physical activity (state) has changed from a static plank to dynamic push-ups, and the user's question becomes ambiguous due to this change, requiring clarification."
sc-102,sequential_task,object_state,False,medium,medium,True,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,sequential_task,medium,"The scenario shows a progression of steps in preparing a letter, from writing the content to addressing the envelope, which is a sequential task, and the need to clarify whether 'this' refers to the letter or the envelope makes it medium difficulty."
sc-103,sequential_task,sequential_task,True,hard,medium,False,"[""rule_8_sequential_task: 'Same' anchor + empty gold + low Jaccard=0.11""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-104,sequential_task,location,False,medium,hard,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.13""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,referent_offscreen,location,hard,"The scene changes from a person at a boulder with a map to a person walking on a forest path, and the question asks for a distance measurement between these two locations, which is an abstain target."
sc-105,sequential_task,screen_content,False,hard,hard,True,"[""rule_2_screen_content: T1 screen cue 'screen showing', T2 screen cue 'screen now'""]",6,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2, ""distractor_present"": 1, ""heavy_change_type"": 1}",abstain,abstain,referent_offscreen,screen_content,hard,"The content on the computer screen changes from a spreadsheet to a pie chart, and the user's question about reconciling totals cannot be answered because the totals were not visible in Turn 1, making it an abstain target."
sc-106,sequential_task,location,False,medium,hard,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.21""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,referent_offscreen,object_state,hard,"The user asks about the temperature (a state) of the milk, which is present in both turns, but the critical information (thermometer reading) was not legible in Turn 1, requiring an abstain target."
sc-107,sequential_task,object_state,False,medium,hard,False,"[""rule_9_object_state: T2 starts 'Same'/'The same' (default)""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,referent_offscreen,sequential_task,hard,"The user transitions from running to stretching on the same track (sequential task), and the query asks for pace data that is explicitly stated as not being tracked by any visible device, requiring an abstain target."
sc-108,location,location,True,easy,medium,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.15""]",2,"{""referent_offscreen"": 2}",prior,prior,single_referent,,,
sc-109,location,location,True,medium,medium,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.11""]",2,"{""referent_offscreen"": 2}",prior,prior,distractor_present,,,
sc-110,location,absent_referent,False,medium,medium,True,"[""rule_3_absent_referent: T2 user cue 'that one'""]",3,"{""referent_offscreen"": 2, ""heavy_change_type"": 1}",prior,prior,single_referent,location,medium,"The entire scene changes from a practice room to a theater backstage, clearly indicating a location change, and the user's query in Turn 2 refers to the previous turn's activity while presenting a new visual context, adding moderate cognitive load."
sc-111,location,location,True,hard,medium,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.18""]",3,"{""target_context_abstain_or_clarify"": 2, ""gold_jaccard_medium"": 1}",clarify,clarify,multi_referent,,,
sc-112,location,location,True,hard,medium,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.15""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-113,location,location,True,easy,medium,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.22""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,distractor_present,,,
sc-114,location,location,True,medium,medium,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.11""]",3,"{""target_context_abstain_or_clarify"": 2, ""gold_jaccard_medium"": 1}",clarify,clarify,multi_referent,,,
sc-115,location,location,True,hard,medium,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.12""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-116,location,location,True,medium,medium,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.20""]",2,"{""target_context_abstain_or_clarify"": 2}",clarify,clarify,multi_referent,,,
sc-117,location,location,True,hard,medium,False,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.24""]",3,"{""target_context_abstain_or_clarify"": 2, ""distractor_present"": 1}",clarify,clarify,distractor_present,,,
sc-118,location,location,True,hard,hard,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.15""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,referent_offscreen,,,
sc-119,location,location,True,hard,hard,True,"[""rule_6_location: T2 not anchored to T1, image-token Jaccard=0.15""]",4,"{""target_context_abstain_or_clarify"": 2, ""referent_offscreen"": 2}",abstain,abstain,referent_offscreen,,,
